Country,Electoral Democracy Index,Gini Score,HDI Score,HDI category,Income group,Number of Records,CIVICUS Monitor Rating,Population,Rating,Region
Romania,0.689,37.4,0.793,3,Upper middle income,1,Narrowed,19511324,Narrowed,EUROPE
Serbia,Null,38.2,0.771,3,Upper middle income,1,Narrowed,7100000,Narrowed,EUROPE
Marshall Islands,Null,Null,Null,Null,Upper middle income,1,Narrowed,52993,Narrowed,OCEANIA
Palau,Null,Null,0.78,3,Upper middle income,1,Narrowed,21291,Narrowed,OCEANIA
Gabon,Null,Null,0.684,2,Upper middle income,1,Obstructed,1725292,Obstructed,AFRICA
Brazil,0.912,51.2,0.755,3,Upper middle income,1,Obstructed,207847528,Obstructed,AMERICAS
Dominican Republic,0.707,44,0.715,3,Upper middle income,1,Obstructed,10528391,Obstructed,AMERICAS
Ecuador,Null,45.2,0.732,3,Upper middle income,1,Obstructed,16144363,Obstructed,AMERICAS
Paraguay,0.642,51.7,0.679,2,Upper middle income,1,Obstructed,6639123,Obstructed,AMERICAS
Peru,0.752,44.1,0.734,3,Upper middle income,1,Obstructed,31376670,Obstructed,AMERICAS
Jordan,0.271,Null,0.748,3,Upper middle income,1,Obstructed,7594547,Obstructed,ASIA
Kazakhstan,0.267,Null,0.788,3,Upper middle income,1,Obstructed,17625226,Obstructed,ASIA
Lebanon,Null,Null,0.769,3,Upper middle income,1,Obstructed,5850743,Obstructed,ASIA
Malaysia,Null,Null,0.779,3,Upper middle income,1,Obstructed,30331007,Obstructed,ASIA
Maldives,0.5,Null,0.706,3,Upper middle income,1,Obstructed,363657,Obstructed,ASIA
Fiji,0.463,Null,0.727,3,Upper middle income,1,Obstructed,892145,Obstructed,OCEANIA
Tuvalu,Null,Null,Null,Null,Upper middle income,1,Open,9916,Open,OCEANIA
Algeria,0.365,Null,0.736,3,Upper middle income,1,Repressed,39666519,Repressed,AFRICA
Angola,Null,Null,0.532,1,Upper middle income,1,Repressed,25021974,Repressed,AFRICA
Colombia,0.588,53.3,0.72,3,Upper middle income,1,Repressed,48228704,Repressed,AMERICAS
Mexico,0.6,48.9,0.756,3,Upper middle income,1,Repressed,127017224,Repressed,AMERICAS
Venezuela,Null,40.7,0.762,3,Upper middle income,1,Repressed,31108083,Repressed,AMERICAS
Azerbaijan,0.211,Null,0.751,3,Upper middle income,1,Repressed,9753968,Repressed,ASIA
China,Null,47.7,0.727,3,Upper middle income,1,Repressed,1376048943,Repressed,ASIA
Iraq,0.401,Null,0.654,2,Upper middle income,1,Repressed,36423395,Repressed,ASIA
Thailand,0.183,37.85,0.726,3,Upper middle income,1,Repressed,67959359,Repressed,ASIA
Belarus,0.301,Null,0.798,3,Upper middle income,1,Repressed,9495826,Repressed,EUROPE
Russia,0.3,Null,0.798,3,Upper middle income,1,Repressed,143456918,Repressed,EUROPE
Turkey,0.473,Null,0.761,3,Upper middle income,1,Repressed,78665830,Repressed,EUROPE
